제목,모델명,컬러,상태,"파손,찍힘",화면불량,기능불량,배터리,케어플러스,본문,신뢰지수,가격
아이폰 15 PLUS 카드 폰케이스,,,,,,,,,"아이폰 15 PLUS 카드 폰케이스
상태 새상품 
판매가 3,000원",,"3,000원"
아이폰 15프로 교환,아이폰 15 프로 128GB,화이트 티타늄,,,,,,,"화이트티타늄 128GB 
배터리성능 86%

사설 수리 및 공식 수리X
기능상 문제X

카메라 때문에 프로 쓰다가 이제 잘 안 쓰게 돼
교환합니다

액정 및 테두리 잔기스 및 찍힘 기스 있음

액정 잔기스 사용중일때 티 안 남

자세한 사진은 채팅으로 요청주세요

16 시리즈부터 교환 원해요

추금 
16 ~5max
16플러스 이상 기기 ~10max 

거리 따져서 추금 협의해요

지역 - 경기 남부",516,"123,456원"
아이폰15 쿠로미 케이스,,,,,,,,,"아이폰15 쿠로미 케이스
해외 싱가포르가서 쿠로미넣고 만들었어요
상태 좋아요
정가 25,000원
판매가 15,000원",503,"15,000원"
[미사용] 아이브리싱 아이폰 15 프로 몬스터 맥세이프 투명 케이스,,,,,,,,,"상품명 : 아이브리싱 아이폰 15 프로 몬스터 맥세이프 투명 케이스

제품설명 : 수많은 후기로 검증된 강력한 자력의 맥세이프 기능 / 특수 가공 네오디뮴 자석 (기존 맥세이프 자력 x 2배) / 아크릴+TPU+N52자석+니켈 / 엣지 인에어 쿠션으로 충격에도 강함 / 카메라와 전면 화면 주변의 단차 설계 / 보조배터리, 그립톡, 셀카봉, 카드지갑 등과 완벽한 조화 / 첨부이미지참조

구입가격 : 16,800원

제품상태 : 미사용

거래방식 : 택배(착불or선불) or 직거래(도봉보건소 사거리 근처)

**개인소장품 정리중 입니다. 대부분 단일물품 이라서 재고,추가판매 문의는 받지 못합니다. 중고거래 특성상 속이고 가품을 판매한게 아니면, 반품-환불은 어렵습니다. 첨부사진, 제품설명을 꼼꼼하게 봐주세요. 첨부이미지는 모니터 환경 따라서 차이가 있을수 있고, 사이즈도 상품특성,측정방식에 따라서 차이가 있을수 있습니다. 개인 소장품이니, 예민하신 분들은 전문 쇼핑몰 상품을 구입해 주세요. 택배거래시 제주도,산간지방,무게,부피에 따라서 추가요금이 발생할수 있습니다.**",675,"5,000원"
아이폰박스 아이폰11 ~ 아이폰15 빈박스 다량보유,,,,,,,,,"기기 등 구성품없는 빈박스입니다.

인테리어용이나 수집목적 대량구매시 가격협의 가능합니다 

아이폰11부터 아이폰15까지 기종,색상,기가별 보유중 

케이블,이어팟,어댑터 없습니다 
뒤쪽에 사진처럼 유심탈착핀,스티커,설명서,보증서
요정도 들었다고 보심됍니다 

가격은 기종,색상,기가 특정해서 개별구매시 ,최저 6000 부터 시작",686,"6,000원"
(새상품)아이폰15프로 512 내추럴티타늄 리퍼 후 미사용 팝니다,아이폰 15 프로 512GB,내추럴 티타늄,,,,,,,"명동 애플스토어에서 새상품 수령후 
전원도 안켜본 새상품입니다

부분 수리가 아닌 망가진 폰 반납 후
새상품 수령 받았습니다

새상품이라 기스 하나도 없고
배터리 성능도100입니다

폰 단품입니다
직거래시 110만원에 드릴게요

네고 문의는 죄송합니다
직거래는 청량리역입니다",693,"1,110,000원"
아이폰 15 프로 파인우븐 케이스/ 멀베리,,,,,,,,,"아이폰 15 프로 파인우븐 맥세이프 케이스 판매합니다.

멀베리 색상 입니다.

15pro 계속 쓰려고 쟁겨 뒀는데 핸드폰 바꿔서 판매합니다.

미사용 새제품입니다.",762,"35,000원"
아이폰15프로맥스 1테라 화이트 티타늄 자급제 풀박 팝니다,아이폰 15 프로 맥스 1TB,화이트 티타늄,,,,,,,"이번년도04월09일날 활성화 하였습니다 
사자마자 강화유리랑 카메라 필름붙히고 케이스 꼇어요

여분의강화유리 필름 3장드립니다
배터리성능 100입니다 사이클11
실사용 10일 입니다!!
풀박이구 충전기도 개봉조차 안했어요
그냥 새거입니다
자급제에요!! 유심꼽고 바로 사용 가능합니다!!
마지막 가격내림",803,"1,610,000원"
아이폰15 256G 블랙 S급!,아이폰 15 256GB,블랙,,,,,,,"아이폰15 입니다

256G 블랙색상이구여

외관 잔기스 있고

그외에는 큰 찍힘없는 S급입니다

액정 잔기스 있고 잔상없습니다

배터리는 성능83%나오구여

카메라,페이스아이디,트루톤, 무선충전 등등 

모든기능 정상작동 합니다

유심넣으면 바로 사용가능하구여 정상해지며

선택약정 가능합니다

(영상첨부합니다 확인부탁드립니다)",786,"625,000원"
아이폰 15프로 블랙티타늄 자급제 판매합니다,아이폰 15 프로 128GB,블랙 티타늄,,,,,,,"자급제여서 선약 등 전부 다 됩니다
배터리 성능 89%입니다
아이폰 15프로 128gb 블랙티타늄

네고 안 받습니다..

사설수리 이력 없고 기능적으로 이상 전혀 없고 
사진 보시다싶이 깔끔해요 항상 케이스 필름 사용해서 필름도 새거로 장착해놨어요

사진에 나와있는 지디 콜라보 한정판 케이스티파이 케이스, 투명 케이스 드립니다

직거래 저희집 앞으로 오셔야해요
택배거래시 +4000",,"810,000원"
